# TotalStack Service Build Queue
# Format: SERVICE_NAME | STATUS | PRIORITY | TYPE | OPS_COUNT | NOTES
# STATUS: done, pending, in_progress, skipped
# PRIORITY: 1=TiER1-critical, 2=TIER2-high, 3=TIER2-medium, 4=TIER3-nice, 5=GRAY
# TYPE: PURE (build from AWS docs), OSS_WRAP (AWS docs + upstream OSS docs), 
#       SKIP_DEPRECATED, SKIP_HARDWARE, SKIP_MANAGEMENT, SKIP_NICHE, SKIP_GRAY
#
# See: specs/aws/SERVICE-CLASSIFICATION.md for full strategy
# See: specs/aws/oss-upstream-docs.yaml for OSS version tracking

# ===== TIER 1 — DONE (19 services) =====
translate | done | 1 | PURE | 19 | Simple stateless API
medical-imaging | skipped | 5 | SKIP_NICHE | ? | Healthcare imaging
omics | skipped | 5 | SKIP_NICHE | ? | Genomics
connect | skipped | 5 | SKIP_NICHE | ? | Call center — massive surface area
connect-contact-lens | skipped | 5 | SKIP_NICHE | ? | Contact analytics
connectcampaigns | skipped | 5 | SKIP_NICHE | ? | Outbound campaigns
connectcampaignsv2 | skipped | 5 | SKIP_NICHE | ? | Campaigns v2
connectcases | skipped | 5 | SKIP_NICHE | ? | Contact center cases
connecthealth | skipped | 5 | SKIP_NICHE | ? | Connect health
connectparticipant | skipped | 5 | SKIP_NICHE | ? | Chat participant
appflow | skipped | 5 | SKIP_NICHE | ? | SaaS connectors
b2bi | skipped | 5 | SKIP_NICHE | ? | EDI/B2B transformation
supplychain | skipped | 5 | SKIP_NICHE | ? | Supply chain
deadline | skipped | 5 | SKIP_NICHE | ? | Render farm
dataexchange | skipped | 5 | SKIP_NICHE | ? | Data marketplace
datazone | skipped | 5 | SKIP_NICHE | ? | Data governance
databrew | skipped | 5 | SKIP_NICHE | ? | Data preparation
customer-profiles | skipped | 5 | SKIP_NICHE | ? | Customer profiles
chime | skipped | 5 | SKIP_NICHE | ? | Video conferencing
chime-sdk-identity | skipped | 5 | SKIP_NICHE | ? | Chime identity
chime-sdk-media-pipelines | skipped | 5 | SKIP_NICHE | ? | Chime media
chime-sdk-meetings | skipped | 5 | SKIP_NICHE | ? | Chime meetings
chime-sdk-messaging | skipped | 5 | SKIP_NICHE | ? | Chime messaging
chime-sdk-voice | skipped | 5 | SKIP_NICHE | ? | Chime voice
wickr | skipped | 5 | SKIP_NICHE | ? | Encrypted messaging
iottwinmaker | skipped | 5 | SKIP_NICHE | ? | Digital twins
iotsitewise | skipped | 5 | SKIP_NICHE | ? | Industrial IoT
iotfleetwise | skipped | 5 | SKIP_NICHE | ? | Vehicle fleet data
arc-zonal-shift | skipped | 5 | SKIP_NICHE | ? | Zonal shift — ultra-niche
arc-region-switch | skipped | 5 | SKIP_NICHE | ? | Region switching
tnb | skipped | 5 | SKIP_NICHE | ? | Telco Network Builder
cleanrooms | skipped | 5 | SKIP_NICHE | ? | Data clean rooms
cleanroomsml | skipped | 5 | SKIP_NICHE | ? | Clean rooms ML
entityresolution | skipped | 5 | SKIP_NICHE | ? | Entity matching
migration-hub-refactor-spaces | skipped | 5 | SKIP_NICHE | ? | Refactor spaces
elementalinference | skipped | 5 | SKIP_NICHE | ? | Elemental inference
nova-act | skipped | 5 | SKIP_NICHE | ? | Nova agentic tasks
security-ir | skipped | 5 | SKIP_NICHE | ? | Security incident response
securityagent | skipped | 5 | SKIP_NICHE | ? | Security agent
devops-agent | skipped | 5 | SKIP_NICHE | ? | DevOps agent
partnercentral-account | skipped | 5 | SKIP_NICHE | ? | Partner central
partnercentral-benefits | skipped | 5 | SKIP_NICHE | ? | Partner benefits
partnercentral-channel | skipped | 5 | SKIP_NICHE | ? | Partner channel
partnercentral-selling | skipped | 5 | SKIP_NICHE | ? | Partner selling
socialmessaging | skipped | 5 | SKIP_NICHE | ? | WhatsApp/social messaging
sustainability | skipped | 5 | SKIP_NICHE | ? | Carbon footprint
observabilityadmin | skipped | 5 | SKIP_NICHE | ? | Observability admin
notifications | skipped | 5 | SKIP_NICHE | ? | AWS notifications hub
notificationscontacts | skipped | 5 | SKIP_NICHE | ? | Notifications contacts
ssm-guiconnect | skipped | 5 | SKIP_NICHE | ? | SSM GUI connect
launch-wizard | skipped | 5 | SKIP_NICHE | ? | Launch wizard

# ===== GRAY ZONE (~180 services — build if asked) =====
accessanalyzer | pending | 5 | SKIP_GRAY | ? | Not commonly requested
acm-pca | pending | 5 | SKIP_GRAY | ? | Private CA
aiops | pending | 5 | SKIP_GRAY | ? | AI operations
amplifybackend | pending | 5 | SKIP_GRAY | ? | Amplify backend
amplifyuibuilder | pending | 5 | SKIP_GRAY | ? | Amplify UI
apigatewaymanagementapi | pending | 5 | SKIP_GRAY | ? | WebSocket API management
apigatewayv2 | pending | 5 | SKIP_GRAY | ? | HTTP API
appconfigdata | pending | 5 | SKIP_GRAY | ? | AppConfig data plane
appfabric | pending | 5 | SKIP_GRAY | ? | SaaS app fabric
appintegrations | pending | 5 | SKIP_GRAY | ? | App integrations
application-insights | pending | 5 | SKIP_GRAY | ? | Application insights
application-signals | pending | 5 | SKIP_GRAY | ? | Application signals
applicationcostprofiler | pending | 5 | SKIP_GRAY | ? | Cost profiling
apprunner | pending | 5 | SKIP_GRAY | ? | Simplified containers
appstream | pending | 5 | SKIP_GRAY | ? | Desktop streaming
artifact | pending | 5 | SKIP_GRAY | ? | Compliance reports
auditmanager | pending | 5 | SKIP_GRAY | ? | Audit management
autoscaling-plans | pending | 5 | SKIP_GRAY | ? | Scaling plans
backup-gateway | pending | 5 | SKIP_GRAY | ? | Backup gateway
backupsearch | pending | 5 | SKIP_GRAY | ? | Backup search
bcm-dashboards | pending | 5 | SKIP_GRAY | ? | BCM dashboards
bcm-data-exports | pending | 5 | SKIP_GRAY | ? | BCM data exports
bcm-recommended-actions | pending | 5 | SKIP_GRAY | ? | BCM recommendations
bedrock-agentcore | pending | 5 | SKIP_GRAY | ? | Bedrock agent core
bedrock-agentcore-control | pending | 5 | SKIP_GRAY | ? | Agent core control
bedrock-data-automation | pending | 5 | SKIP_GRAY | ? | Data automation
bedrock-data-automation-runtime | pending | 5 | SKIP_GRAY | ? | Data automation runtime
billing | pending | 5 | SKIP_GRAY | ? | Billing
billingconductor | pending | 5 | SKIP_GRAY | ? | Billing conductor
chatbot | pending | 5 | SKIP_GRAY | ? | Chatbot
cloudcontrol | pending | 5 | SKIP_GRAY | ? | Cloud Control API
cloudfront-keyvaluestore | pending | 5 | SKIP_GRAY | ? | KVS for CF
cloudhsm | pending | 5 | SKIP_GRAY | ? | HSM
cloudhsmv2 | pending | 5 | SKIP_GRAY | ? | HSM v2
cloudtrail-data | pending | 5 | SKIP_GRAY | ? | CloudTrail Lake queries
codeconnections | pending | 5 | SKIP_GRAY | ? | Code connections
codeguru-reviewer | pending | 5 | SKIP_GRAY | ? | CodeGuru reviewer
codeguru-security | pending | 5 | SKIP_GRAY | ? | CodeGuru security
codeguruprofiler | pending | 5 | SKIP_GRAY | ? | CodeGuru profiler
config | pending | 5 | SKIP_GRAY | ? | AWS Config
controlcatalog | pending | 5 | SKIP_GRAY | ? | Control catalog
detective | pending | 5 | SKIP_GRAY | ? | Security detective
devops-guru | pending | 5 | SKIP_GRAY | ? | DevOps Guru
discovery | pending | 5 | SKIP_GRAY | ? | Application Discovery
dlm | pending | 5 | SKIP_GRAY | ? | Data lifecycle manager
drs | pending | 5 | SKIP_GRAY | ? | Disaster recovery
ds | pending | 5 | SKIP_GRAY | ? | Directory Service
ds-data | pending | 5 | SKIP_GRAY | ? | DS data plane
dsql | pending | 5 | SKIP_GRAY | ? | Distributed SQL
ebs | pending | 5 | SKIP_GRAY | ? | EBS direct APIs
ec2-instance-connect | pending | 5 | SKIP_GRAY | ? | EC2 Instance Connect
ecr-public | pending | 5 | SKIP_GRAY | ? | Public ECR
ecs | pending | 5 | SKIP_GRAY | ? | Already in LocalStack ASF
eks-auth | pending | 5 | SKIP_GRAY | ? | EKS auth
elasticbeanstalk | pending | 5 | SKIP_GRAY | ? | Beanstalk
elb | pending | 5 | SKIP_GRAY | ? | Classic ELB
elbv2 | pending | 5 | SKIP_GRAY | ? | ALB/NLB
emr-containers | pending | 5 | SKIP_GRAY | ? | EMR on EKS
evs | pending | 5 | SKIP_GRAY | ? | Elemental video
fms | pending | 5 | SKIP_GRAY | ? | Firewall Manager
freetier | pending | 5 | SKIP_GRAY | ? | Free tier
geo-maps | pending | 5 | SKIP_GRAY | ? | Location maps
geo-places | pending | 5 | SKIP_GRAY | ? | Location places
geo-routes | pending | 5 | SKIP_GRAY | ? | Location routes
guardduty | pending | 5 | SKIP_GRAY | ? | Threat detection
imagebuilder | pending | 5 | SKIP_GRAY | ? | Image builder
inspector-scan | pending | 5 | SKIP_GRAY | ? | Inspector scan
inspector2 | pending | 5 | SKIP_GRAY | ? | Inspector v2
internetmonitor | pending | 5 | SKIP_GRAY | ? | Internet monitor
iot-jobs-data | pending | 5 | SKIP_GRAY | ? | IoT jobs
iot-managed-integrations | pending | 5 | SKIP_GRAY | ? | IoT managed integrations
iotdeviceadvisor | pending | 5 | SKIP_GRAY | ? | Device advisor
iotsecuretunneling | pending | 5 | SKIP_GRAY | ? | Secure tunneling
iotwireless | pending | 5 | SKIP_GRAY | ? | LoRaWAN
ivs | pending | 5 | SKIP_GRAY | ? | Interactive video
ivs-realtime | pending | 5 | SKIP_GRAY | ? | IVS realtime
ivschat | pending | 5 | SKIP_GRAY | ? | IVS chat
kafkaconnect | pending | 5 | SKIP_GRAY | ? | Kafka Connect
keyspacesstreams | pending | 5 | SKIP_GRAY | ? | Keyspaces CDC
kinesis-video-archived-media | pending | 5 | SKIP_GRAY | ? | KVS archived media
kinesis-video-media | pending | 5 | SKIP_GRAY | ? | KVS media
kinesis-video-signaling | pending | 5 | SKIP_GRAY | ? | KVS signaling
kinesis-video-webrtc-storage | pending | 5 | SKIP_GRAY | ? | KVS WebRTC storage
kinesisanalyticsv2 | pending | 5 | SKIP_GRAY | ? | KDA Flink
kinesisvideo | pending | 5 | SKIP_GRAY | ? | Kinesis Video Streams
lex-models | pending | 5 | SKIP_GRAY | ? | Lex v1 models
lex-runtime | pending | 5 | SKIP_GRAY | ? | Lex v1 runtime
location | pending | 5 | SKIP_GRAY | ? | Location service
m2 | pending | 5 | SKIP_GRAY | ? | Mainframe modernization
macie2 | pending | 5 | SKIP_GRAY | ? | Macie
mailmanager | pending | 5 | SKIP_GRAY | ? | SES Mail Manager
marketplace-agreement | pending | 5 | SKIP_GRAY | ? | Marketplace agreements
marketplace-catalog | pending | 5 | SKIP_GRAY | ? | Marketplace catalog
marketplace-deployment | pending | 5 | SKIP_GRAY | ? | Marketplace deployment
marketplace-discovery | pending | 5 | SKIP_GRAY | ? | Marketplace discovery
marketplace-entitlement | pending | 5 | SKIP_GRAY | ? | Marketplace entitlement
marketplace-reporting | pending | 5 | SKIP_GRAY | ? | Marketplace reporting
marketplacecommerceanalytics | pending | 5 | SKIP_GRAY | ? | Marketplace analytics
mediaconnect | pending | 5 | SKIP_GRAY | ? | MediaConnect
medialive | pending | 5 | SKIP_GRAY | ? | MediaLive
mediapackage | pending | 5 | SKIP_GRAY | ? | MediaPackage
mediapackage-vod | pending | 5 | SKIP_GRAY | ? | MediaPackage VOD
mediapackagev2 | pending | 5 | SKIP_GRAY | ? | MediaPackage v2
mediatailor | pending | 5 | SKIP_GRAY | ? | MediaTailor
meteringmarketplace | pending | 5 | SKIP_GRAY | ? | Marketplace metering
mgh | pending | 5 | SKIP_GRAY | ? | Migration Hub
mgn | pending | 5 | SKIP_GRAY | ? | Migration Hub
migrationhub-config | pending | 5 | SKIP_GRAY | ? | Migration Hub config
migrationhuborchestrator | pending | 5 | SKIP_GRAY | ? | Migration Hub orchestrator
migrationhubstrategy | pending | 5 | SKIP_GRAY | ? | Migration Hub strategy
mpa | pending | 5 | SKIP_GRAY | ? | Marketplace Partner Analytics
mturk | pending | 5 | SKIP_GRAY | ? | Mechanical Turk
mwaa-serverless | pending | 5 | SKIP_GRAY | ? | MWAA serverless
neptune-graph | pending | 5 | SKIP_GRAY | ? | Neptune graph analytics
neptunedata | pending | 5 | SKIP_GRAY | ? | Neptune data plane
networkflowmonitor | pending | 5 | SKIP_GRAY | ? | Network flow monitor
networkmanager | pending | 5 | SKIP_GRAY | ? | Network Manager
networkmonitor | pending | 5 | SKIP_GRAY | ? | Network Monitor
oam | pending | 5 | SKIP_GRAY | ? | Observability Access Manager
odb | pending | 5 | SKIP_GRAY | ? | On-Demand Backup
osis | pending | 5 | SKIP_GRAY | ? | OpenSearch Ingestion
payment-cryptography | pending | 5 | SKIP_GRAY | ? | Payment cryptography
payment-cryptography-data | pending | 5 | SKIP_GRAY | ? | Payment crypto data
pca-connector-ad | pending | 5 | SKIP_GRAY | ? | PCA AD connector
pca-connector-scep | pending | 5 | SKIP_GRAY | ? | PCA SCEP connector
pcs | pending | 5 | SKIP_GRAY | ? | Parallel Computing Service
personalize-events | pending | 5 | SKIP_GRAY | ? | Personalize events
personalize-runtime | pending | 5 | SKIP_GRAY | ? | Personalize runtime
pi | pending | 5 | SKIP_GRAY | ? | Performance Insights
pinpoint | pending | 5 | SKIP_GRAY | ? | Pinpoint
pinpoint-email | pending | 5 | SKIP_GRAY | ? | Pinpoint email
pinpoint-sms-voice | pending | 5 | SKIP_GRAY | ? | Pinpoint SMS
pinpoint-sms-voice-v2 | pending | 5 | SKIP_GRAY | ? | Pinpoint SMS v2
pipes | pending | 5 | SKIP_GRAY | ? | EventBridge Pipes
pricing | pending | 5 | SKIP_GRAY | ? | AWS Pricing API
proton | pending | 5 | SKIP_GRAY | ? | Proton
qapps | pending | 5 | SKIP_GRAY | ? | Q Apps
qbusiness | pending | 5 | SKIP_GRAY | ? | Q Business
qconnect | pending | 5 | SKIP_GRAY | ? | Q Connect
rbin | pending | 5 | SKIP_GRAY | ? | Recycle Bin
rds-data | pending | 5 | SKIP_GRAY | ? | RDS Data API
redshift-data | pending | 5 | SKIP_GRAY | ? | Redshift Data API
redshift-serverless | pending | 5 | SKIP_GRAY | ? | Redshift Serverless
repostspace | pending | 5 | SKIP_GRAY | ? | re:Post private
resiliencehub | pending | 5 | SKIP_GRAY | ? | Resilience Hub
resiliencehubv2 | pending | 5 | SKIP_GRAY | ? | Resilience Hub v2
route53-recovery-cluster | pending | 5 | SKIP_GRAY | ? | Route53 ARC
route53-recovery-control-config | pending | 5 | SKIP_GRAY | ? | ARC control config
route53-recovery-readiness | pending | 5 | SKIP_GRAY | ? | ARC readiness
